agent;autres;colloques;etude_terrain;total;statut
312;705,1712312;461,0549427;0;1166,226174;externes
313;87,23337787;33,20347158;56,37684059;176,81369;doc_postdoc
314;154,8382194;555,7060441;106,6040938;817,1483573;permanents
316;0;804,961802;1117,650504;1922,612306;permanents
317;0;2215,738658;4200,137544;6415,876202;permanents
318;0;90,24490216;167,5976754;257,8425776;externes
319;352,5856156;0;0;352,5856156;permanents
320;0;75,25616845;270,6067808;345,8629492;doc_postdoc
321;0;56,34228355;104,6356695;160,977953;externes
322;0;3,16315789;5,874436082;9,037593972;externes
323;0;439,6821449;634,1703759;1073,852521;externes
324;0;94,71237327;175,8944075;270,6067808;externes
325;0;74,55925444;0;74,55925444;externes
326;0;0,409394046;0,760303229;1,169697275;externes
327;97,87578259;0;0;97,87578259;externes
328;0;591,9905853;1099,411087;1691,401672;externes
329;0;40,94403353;76,0389194;116,9829529;externes
330;0;0;405,6340648;405,6340648;externes
331;0;1169,000851;2171,001581;3340,002432;doc_postdoc
332;208,4812896;0;0;208,4812896;externes
333;0;96,91481124;0;96,91481124;externes
334;0;916,0817986;0;916,0817986;doc_postdoc
335;0;111,0361775;0;111,0361775;externes
336;586,451015;8649,333707;10922,03605;20157,82077;permanents
337;0;9,723584254;0;9,723584254;permanents
338;0;123,4049655;229,1806501;352,5856156;externes
339;0;1764,833307;0;1764,833307;externes
340;9,721364396;0;0;9,721364396;externes
341;0;201,0095958;373,3035351;574,3131309;externes
342;0;14,89968307;27,67083998;42,57052304;externes
343;0;307,8699466;144,1027974;451,972744;doc_postdoc
344;375,168287;0;0;375,168287;externes
345;0;0;2662,279098;2662,279098;externes
346;0;0;55,83407323;55,83407323;Associés/autres
347;0;2317,436234;0;2317,436234;doc_postdoc
348;334,800865;0;0;334,800865;externes
349;62,15603879;0;139,4157466;201,5717854;permanents
350;0;0;3,261497511;3,261497511;externes
351;0;860,2621294;1597,629669;2457,891798;doc_postdoc
352;0;2,556808149;0;2,556808149;externes
353;0;1,54602395;2,871187336;4,417211287;externes
354;0;101,8355451;189,1231551;290,9587002;externes
355;0;211,4271138;0;211,4271138;externes
356;626,3501571;0;0;626,3501571;externes
357;0;9,723584254;0;9,723584254;externes
358;0;315,2867185;0;315,2867185;externes
359;0;13,20139721;24,51688054;37,71827775;externes
360;0;123,1052179;71,10572122;194,2109391;doc_postdoc
361;0;262,5868639;140,2813102;402,8681741;doc_postdoc
362;289,0767237;0;0;289,0767237;externes
363;1602,455579;1108,529575;2058,697781;4769,682935;externes
364;0;0;212,214931;212,214931;externes
365;5,627355993;0;0;5,627355993;externes
366;0;101,3065681;188,1407693;289,4473374;externes
367;226,0048585;138,592198;455,8475589;820,4446153;permanents
368;0;125,1090919;232,3454563;357,4545482;externes
369;0;41,9344943;77,87834655;119,8128409;externes
370;0;36,92143022;66,6919828;103,613413;externes
371;0;3,244524473;0;3,244524473;externes
372;0;0,956320181;0;0,956320181;externes
373;0;352,5856156;327,8336875;680,4193031;externes
374;0;0;73,62761477;73,62761477;externes
375;0;0;353,3501578;353,3501578;externes
376;640,8476261;0;0;640,8476261;externes
377;613,353749;0;0;613,353749;externes
378;7,775240435;2831,244076;3588,943603;6427,96292;doc_postdoc
379;0;36,18697761;67,20438699;103,3913646;externes
380;0;33,86906821;62,8996981;96,76876631;externes
381;0;4205,237882;7809,727495;12014,96538;doc_postdoc
382;0;1,135583566;2,108940908;3,244524473;Associés/autres
383;0;0;1616,913289;1616,913289;externes
384;0;11,76078115;21,8414507;33,60223185;externes
